,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
0,Mah,Logan ,Others,2010,127000.0 KM,DIESEL,MANUAL,1st, Jaysingpur,"2,50,000"
1,Hyundai ,Santro X,,2007,45000.0 KM,PETROL,MANUAL,2nd, Coimbatore,"2,10,000"
2,Ford ,Ecosport ,1.5 Diesel Trend,2015,20 KM,DIESEL,MANUAL,2nd, Wardha,"6,51,000"
3,Maruti Suzuki ,Alto K10 ,VXI Airbag,2016,58734 KM,PETROL,MANUAL,First, Bengaluru,"3,30,000"
4,Maruti Suzuki ,Swift Dzire Tour ,LDI,2018,61000.0 KM,DIESEL,MANUAL,1st, Visakhapatnam,"6,20,000"
5,Jaguar ,XJ ,L 3.0 V6 Portfolio,2018,16000.0 KM,DIESEL,AUTOMATIC,1st, Ahmedabad,"65,00,000"
6,Hyundai ,Verna ,CRDi 1.6 SX,2017,"77,000 KM",DIESEL,MANUAL,1st, Guntur,"10,75,000"
7,Maruti Suzuki ,Alto K10 ,LXI,2013,"65,000 KM",PETROL,MANUAL,2nd, Srinagar,"1,85,000"
8,Hyundai ,Xcent ,1.2 VTVT S,2017,80000.0 KM,PETROL,MANUAL,1st, Rajkot,"4,95,000"
9,Honda ,City ,2008-2011 1.5 V MT,2010,59000.0 KM,PETROL,MANUAL,1st, Pune,"3,49,999"
10,Hyundai ,Elite i20 ,Sportz 1.2 Special Edition,2017,14500.0 KM,PETROL,MANUAL,1st, Navi Mumbai,"5,97,000"
11,Audi ,A4 ,2.0 TDI,2013,95000.0 KM,DIESEL,AUTOMATIC,3rd, Delhi,"9,50,000"
12,Ford ,Ecosport ,1.5 Petrol Titanium,2014,25265.0 KM,PETROL,MANUAL,1st, Mumbai,"5,75,000"
13,Skoda ,Rapid ,1.5 TDI Ambition,2012,105000.0 KM,DIESEL,MANUAL,2nd, Visakhapatnam,"3,80,000"
14,Maruti Suzuki ,Ertiga ,VXI AT Petrol,2017,45653.0 KM,PETROL,AUTOMATIC,1st, Mumbai,"7,70,000"
