,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
0,12,64,245,2010.0,127000.0,3,2,1.0,39,250000.0
1,6,92,274,2007.0,45000.0,6,2,2.0,18,210000.0
2,4,33,40,2015.0,20.0,3,2,2.0,104,651000.0
3,13,10,289,2016.0,58734.0,6,2,1.0,12,330000.0
4,13,100,229,2018.0,61000.0,3,2,1.0,103,620000.0
5,8,117,228,2018.0,16000.0,3,1,1.0,1,6500000.0
6,6,109,195,2017.0,77.0,3,2,1.0,29,1075000.0
7,13,10,232,2013.0,65.0,6,2,2.0,91,185000.0
8,6,119,28,2017.0,80000.0,6,2,1.0,83,495000.0
9,5,23,108,2010.0,59000.0,6,2,1.0,82,349999.0
10,6,36,268,2017.0,14500.0,6,2,1.0,71,597000.0
11,0,4,71,2013.0,95000.0,3,1,3.0,21,950000.0
12,4,33,44,2014.0,25265.0,6,2,1.0,64,575000.0
13,20,84,48,2012.0,105000.0,3,2,2.0,103,380000.0
14,13,38,288,2017.0,45653.0,6,1,1.0,64,770000.0
15,20,63,186,2008.0,159979.0,3,2,3.0,38,325000.0
16,0,79,72,2013.0,78500.0,3,1,1.0,6,1375000.0
17,24,107,57,2011.0,121000.0,3,2,1.0,103,350000.0
18,19,30,274,2016.0,31006.0,6,2,1.0,82,600000.0
19,13,21,159,2016.0,39734.0,6,2,2.0,93,370000.0
20,12,16,90,2003.0,175.0,3,2,2.0,23,325000.0
21,5,23,317,2017.0,71000.0,6,2,1.0,64,900000.0
22,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
23,16,103,301,2016.0,34812.0,6,2,1.0,64,585000.0
24,21,75,274,2012.0,140.0,3,2,2.0,18,240000.0
25,21,66,189,2010.0,66000.0,6,2,1.0,93,175000.0
26,4,33,1,2015.0,48.0,6,1,1.0,85,450000.0
27,19,30,248,2017.0,48000.0,6,1,1.0,17,890000.0
28,6,123,239,2012.0,40000.0,6,2,1.0,64,295000.0
29,22,40,52,2012.0,59000.0,6,2,1.0,82,325000.0
30,22,80,220,2004.0,120000.0,3,2,3.0,12,285000.0
31,6,36,241,2015.0,41000.0,6,2,2.0,50,420000.0
32,13,114,245,2008.0,49.0,6,2,3.0,8,150000.0
33,16,97,300,2013.0,63.0,6,2,2.0,43,365000.0
34,6,119,274,2015.0,58087.0,6,2,1.0,50,370000.0
35,6,124,10,2014.0,34000.0,6,2,1.0,82,460000.0
36,13,10,125,2010.0,97924.0,6,2,1.0,82,140000.0
37,13,112,67,2006.0,111725.0,6,2,2.0,36,140000.0
38,13,9,143,2014.0,63.0,6,2,2.0,26,180000.0
39,5,11,24,2013.0,46000.0,6,2,1.0,36,445000.0
40,6,52,221,2007.0,98.0,2,1,3.0,9,135000.0
41,5,61,25,2017.0,38000.0,6,2,2.0,100,425000.0
42,12,118,133,2013.0,62000.0,3,2,1.0,21,615000.0
43,5,23,316,2017.0,63000.0,6,2,1.0,26,759999.0
44,2,15,122,2013.0,28000.0,2,2,1.0,93,245000.0
45,6,108,254,2019.0,10167.0,6,1,1.0,71,1175000.0
46,21,58,312,2014.0,63000.0,3,2,1.0,1,234999.0
47,6,92,217,2007.0,75.0,6,2,2.0,99,85000.0
48,22,46,245,2018.0,54000.0,3,2,1.0,60,3200000.0
49,12,118,296,2015.0,53000.0,3,2,1.0,21,1050000.0
50,6,109,160,2015.0,99.0,3,1,2.0,16,575000.0
51,10,94,225,2019.0,6097.0,6,1,1.0,36,1560000.0
52,13,110,245,2020.0,17396.0,6,2,1.0,93,1025000.0
53,13,99,294,2017.0,110000.0,3,2,1.0,43,695000.0
54,6,123,211,2008.0,140.0,5,2,3.0,13,150000.0
55,13,99,277,2012.0,78.0,3,1,2.0,0,360000.0
56,22,121,227,2018.0,16278.0,6,2,1.0,64,790000.0
57,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
58,5,7,76,2007.0,75000.0,6,1,2.0,36,245000.0
59,19,30,43,2015.0,7646.0,6,2,1.0,64,699000.0
60,19,30,65,2012.0,61000.0,3,2,1.0,92,425000.0
61,0,79,274,2017.0,8600.0,6,1,1.0,17,2850000.0
62,2,90,274,2014.0,32000.0,6,2,1.0,20,300000.0
63,21,72,23,2018.0,16231.0,6,2,1.0,12,899000.0
64,13,22,158,2016.0,28000.0,3,2,1.0,21,650000.0
65,12,16,257,2014.0,83000.0,3,2,1.0,26,470001.0
66,6,32,209,2018.0,40000.0,6,2,1.0,21,325000.0
67,5,69,276,2015.0,43400.0,2,2,1.0,64,595000.0
68,22,19,94,2008.0,55.0,0,0,1.0,47,15000.0
69,12,75,274,2020.0,7.0,6,2,1.0,86,320000.0
70,5,23,153,2014.0,87000.0,3,2,1.0,1,560000.0
71,13,8,235,2010.0,80000.0,6,2,2.0,47,155000.0
72,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
73,21,70,112,2011.0,20375.0,6,2,3.0,89,83000.0
74,4,39,264,2015.0,60000.0,3,2,2.0,73,650000.0
75,22,41,35,2012.0,73.0,3,2,2.0,56,420000.0
76,12,101,271,2018.0,69000.0,3,2,1.0,103,850000.0
77,12,118,132,2013.0,129.0,3,2,2.0,37,651000.0
78,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
79,13,74,198,2014.0,78222.0,6,2,1.0,97,250000.0
80,4,33,41,2017.0,108628.0,3,2,2.0,17,650000.0
81,5,23,162,2016.0,38000.0,6,2,1.0,21,670000.0
82,5,23,316,2018.0,50563.0,6,2,1.0,64,775000.0
83,19,62,184,2017.0,33000.0,6,1,1.0,18,364000.0
84,6,123,210,2011.0,70000.0,6,2,2.0,20,190000.0
85,22,41,35,2012.0,85000.0,3,2,1.0,26,265000.0
